x,y
0.0,299.99999999999983
1.0,289.1135412337656
2.0,279.0668062541645
3.0,269.76369124928584
4.0,261.1223985036809
5.0,253.07285126548746
6.0,245.554652129866
7.0,238.51545572495255
8.0,231.90966051861935
9.0,225.69734881725265
10.0,219.84342153123205
11.0,214.31688706300312
12.0,209.09027310883727
13.0,204.13913720165263
14.0,199.44165711963117
15.0,194.9782863092062
16.0,190.73146255311303
17.0,186.6853604936186
18.0,182.82568047163053
19.0,179.1394675917761
20.0,175.61495606623276
21.0,172.24143479665412
22.0,169.00913087703623
23.0,165.9091082810468
24.0,162.93317946589383
25.0,160.07382800482446
26.0,157.32414067005772
27.0,154.67774764154524
28.0,152.12876972551678
29.0,149.67177163902886
30.0,147.30172055958914
31.0,145.0139492578649
32.0,142.8041232308696
33.0,140.6682113363764
34.0,138.60245949945073
35.0,136.60336712122432
36.0,134.6676658701989
37.0,132.79230057899446
38.0,130.97441200578126
39.0,129.21132125067595
40.0,127.50051564398521
41.0,125.83963594603738
42.0,124.22646471803235
43.0,122.65891574034522
44.0,121.1350243694385
45.0,119.6529387373096
46.0,118.21091170850802
47.0,116.8072935194357
48.0,115.44052503309887
49.0,114.10913154987804
50.0,112.81171712137102
51.0,111.54695932006318
52.0,110.31360442259825
53.0,109.11046296884588
54.0,107.93640566287208
55.0,106.79035958537716
56.0,105.6713046902315
57.0,104.57827056046224
58.0,103.51033340146378
59.0,102.46661325136152
60.0,101.44627139038074
61.0,100.44850793279048
62.0,99.47255958652859
63.0,98.51769756699078
64.0,97.58322565270069
65.0,96.66847837168773
66.0,95.7728193083956
67.0,94.89563952184359
68.0,94.03635606657181
69.0,93.1944106086324
70.0,92.3692681295495
71.0,91.56041571176847
72.0,90.76736139965567
73.0,89.98963313060153
74.0,89.22677773122501
75.0,88.47835997408227
76.0,87.74396169065102
77.0,87.02318093669732
78.0,86.3156312064369
79.0,85.62094069218269
80.0,84.93875158642402
81.0,84.26871942351687
82.0,83.6105124583762
83.0,82.96381107975756
84.0,82.32830725589325
85.0,81.70370401041241
86.0,81.08971492662506
87.0,80.4860636783881
88.0,79.89248358589879
89.0,79.30871719487769
90.0,78.73451587771187
91.0,78.1696394552269
92.0,77.61385583784936
93.0,77.06694068500525
94.0,76.52867708167786
95.0,75.99885523112133
96.0,75.47727216279209
97.0,74.96373145462336
98.0,74.4580429688238
99.0,73.96002260043566
100.0,73.46949203793613
101.0,72.98627853521187
102.0,72.51021469427873
103.0,72.04113825815826
104.0,71.5788919133593
105.0,71.12332310144679
106.0,70.67428383921204
107.0,70.23163054698797
108.0,69.7952238846805
109.0,69.36492859511272
110.0,68.94061335430317
111.0,68.52215062832089
112.0,68.10941653638137
113.0,67.7022907198674
114.0,67.3006562169762
115.0,66.904399342712
116.0,66.5134095739589
117.0,66.12757943938387
118.0,65.7468044139339
119.0,65.3709828177041
120.0,65.00001571896624
121.0,64.63380684115863
122.0,64.27226247364905
123.0,63.91529138609265
124.0,63.562804746216244
125.0,63.21471604086986
126.0,62.87094100019382
127.0,62.531397524758994
128.0,62.19600561554401
129.0,61.864687306621256
130.0,61.537366600429486
131.0,61.213969405517474
132.0,60.89442347664887
133.0,60.57865835716409
134.0,60.266605323500094
135.0,59.95819733177422
136.0,59.6533689663425
137.0,59.35205639024758
138.0,59.054197297475476
139.0,58.759730866944174
140.0,58.46859771815104
141.0,58.18073986840938
142.0,57.896100691607884
143.0,57.61462487842962
144.0,57.336258397970816
145.0,57.060948460701596
146.0,56.78864348271445
147.0,56.51929305120803
148.0,56.25284789115669
149.0,55.989259833118254
150.0,55.72848178213484
151.0,55.470467687683424
152.0,55.21517251463484
153.0,54.96255221518198
154.0,54.71256370169929
155.0,54.46516482049774
156.0,54.22031432644073
157.0,53.977971858388145
158.0,53.73809791543699
159.0,53.50065383392854
160.0,53.2656017651932
161.0,53.03290465400551
162.0,52.80252621772281
163.0,52.57443092608239
164.0,52.34858398163292
165.0,52.12495130077677
166.0,51.903499495401284
167.0,51.6841958550774
168.0,51.4670083298054
169.0,51.25190551328816
170.0,51.03885662671294
171.0,50.827831503023965
172.0,50.61880057166823
173.0,50.41173484379814
174.0,50.2066058979149
175.0,50.003385865937375
176.0,49.80204741968184
177.0,49.60256375773833
178.0,49.404908592730116
179.0,49.209056138943254
180.0,49.01498110031373
181.0,48.82265865876002
182.0,48.63206446284962
183.0,48.44317461678834
184.0,48.25596566972166
185.0,48.07041460533778
186.0,47.88649883176258
187.0,47.70419617173677
188.0,47.52348485306619
189.0,47.34434349933632
190.0,47.16675112088241
191.0,46.99068710600727
192.0,46.816131212438485
193.0,46.64306355901769
194.0,46.47146461761446
195.0,46.30131520525762
196.0,46.13259647647749
197.0,45.96528991585204
198.0,45.79937733075098
199.0,45.634840844271444
200.0,45.471662888359496
201.0,45.30982619711163
202.0,45.14931380025093
203.0,44.99010901677238
204.0,44.83219544875243
205.0,44.67555697531769
206.0,44.52017774676804
207.0,44.36604217884961
208.0,44.21313494717304
209.0,44.06144098177283
210.0,43.91094546180362
211.0,43.76163381036928
212.0,43.61349168948101
213.0,43.46650499514071
214.0,43.32065985254595
215.0,43.17594261141302
216.0,43.03233984141471
217.0,42.889838327729485
218.0,42.748425066698985
219.0,42.608087261590605
220.0,42.46881231846235
221.0,42.33058784212702
222.0,42.193401632212904
223.0,42.05724167931835
224.0,41.922096161257606
225.0,41.787953439395295
226.0,41.6548020550673
227.0,41.52263072608539
228.0,41.39142834332357
229.0,41.261183967383786
230.0,41.13188682533884
231.0,41.00352630755045
232.0,40.876091964560466
