# Lc(Cup_Length): 24.0
# Rc(Cup_Radius): 8.75
# Rt(Throat_Radius): 2.0
# A(Slope Angle): -5.0
# Beta(inflection point param): 0.5
# (a,b,c)(atan function params): 2.8962627747517673,-0.19411746546522038,5.375
x,y
0.0,8.7499999999764
0.05,8.745610125367401
0.1,8.741189162730302
0.15,8.73673680147714
0.2,8.732252727186177
0.25,8.727736621548772
0.3,8.723188162315505
0.35,8.718607023241569
0.4,8.71399287403139
0.45,8.709345380282532
0.5,8.704664203428793
0.55,8.699949000682572
0.6,8.69519942497643
0.65,8.690415124903886
0.7,8.685595744659423
0.75,8.680740923977687
0.8,8.675850298071907
0.85,8.67092349757149
0.9,8.665960148458822
0.95,8.660959872005241
1.0,8.655922284706193
1.05,8.650846998215577
1.1,8.645733619279246
1.15,8.640581749667682
1.2,8.635390986107845
1.25,8.630160920214175
1.3,8.624891138418764
1.35,8.619581221900685
1.4,8.614230746514474
1.45,8.608839282717792
1.5,8.603406395498212
1.55,8.597931644299203
1.6,8.592414582945255
1.65,8.586854759566162
1.7,8.5812517165205
1.75,8.575604990318247
1.8,8.569914111542602
1.85,8.564178604770962
1.9,8.558397988495123
1.95,8.552571775040644
2.0,8.546699470485432
2.05,8.540780574577553
2.1,8.534814580652249
2.15,8.528800975548219
2.2,8.522739239523126
2.25,8.516628846168413
2.3,8.510469262323364
2.35,8.504259947988507
2.4,8.498000356238318
2.45,8.491689933133284
2.5,8.485328117631342
2.55,8.47891434149871
2.6,8.47244802922014
2.65,8.465928597908638
2.7,8.459355457214675
2.75,8.452728009234905
2.8,8.446045648420453
2.85,8.43930776148482
2.9,8.432513727311395
2.95,8.4256629168607
3.0,8.418754693077336
3.05,8.41178841079674
3.1,8.404763416651782
3.15,8.397679048979253
3.2,8.390534637726347
3.25,8.383329504357139
3.3,8.376062961759194
3.35,8.368734314150334
3.4,8.361342856985663
3.45,8.353887876864933
3.5,8.34636865144033
3.55,8.33878444932478
3.6,8.331134530000867
3.65,8.32341814373047
3.7,8.315634531465228
3.75,8.307782924757955
3.8,8.299862545675092
3.85,8.29187260671038
3.9,8.283812310699831
3.95,8.275680850738187
4.0,8.267477410096966
4.05,8.25920116214429
4.1,8.250851270266644
4.15,8.242426887792726
4.2,8.233927157919599
4.25,8.225351213641282
4.3,8.216698177680039
4.35,8.207967162420518
4.4,8.199157269847003
4.45,8.190267591483959
4.5,8.181297208340155
4.55,8.17224519085657
4.6,8.163110598858378
4.65,8.153892481511257
4.7,8.144589877282316
4.75,8.135201813905937
4.8,8.125727308354842
4.85,8.116165366816684
4.9,8.106514984676549
4.95,8.096775146505657
5.0,8.086944826056667
5.05,8.077022986265966
5.1,8.067008579263305
5.15,8.056900546389226
5.2,8.0466978182207
5.25,8.036399314605397
5.3,8.026003944705092
5.35,8.015510607048636
5.4,8.004918189595035
5.45,7.994225569807126
5.5,7.983431614736384
5.55,7.972535181119429
5.6,7.961535115486798
5.65,7.950430254284569
5.7,7.9392194240094645
5.75,7.927901441358051
5.8,7.916475113390714
5.85,7.904939237711057
5.9,7.89329260266144
5.95,7.881533987535375
6.0,7.869662162807511
6.05,7.85767589038197
6.1,7.845573923859829
6.15,7.8333550088265405
6.2,7.821017883160123
6.25,7.808561277360969
6.3,7.7959839149041255
6.35,7.783284512614964
6.4,7.770461781069108
6.45,7.757514425017588
